,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,0,19,-0.02000000000000001,-0.02000000000000001,0.056849002838134766,"['examine knife', 'examine fridge', 'read cookbook', 'read cookbook', 'examine dishwasher', 'open trash can', 'examine cutlery drawer', 'close trash can', 'open cutlery drawer', 'close cutlery drawer', 'examine dishwasher', 'examine cutlery drawer', 'inventory', 'examine toaster', 'open kitchen cupboard', 'read cookbook', 'open cutlery drawer', 'examine stove', 'read cookbook', 'inventory']",-0.0020540000000000003,-0.00010270000000000002
1,1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,1,19,-0.02000000000000001,-0.04000000000000002,0.04388284683227539,"['examine fridge', 'examine oven', 'examine toaster', 'examine oven', 'examine stove', 'examine counter', 'examine knife', 'open kitchen cupboard', 'examine kitchen cupboard', 'examine trash can', 'take cookbook', 'open trash can', 'examine knife', 'inventory', 'examine stove', 'put cookbook in counter', 'examine kitchen cupboard', 'take knife', 'open dishwasher', 'examine trash can']",-0.004146430000000001,-0.00010366075000000003
2,1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,2,1,0.099,0.05899999999999998,0.008976221084594727,"['open dishwasher', 'open fridge']",0.005744570000000001,0.00013677547619047622
3,1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,3,4,0.096,0.15499999999999997,0.0139617919921875,"['open cutlery drawer', 'examine oven', 'examine kitchen cupboard', 'examine dining chair', 'open fridge']",0.015325760000000003,0.0003260800000000001
4,1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,4,2,0.098,0.253,0.008976221084594727,"['inventory', 'examine dining chair', 'open fridge']",0.025016760000000006,0.0005105461224489797
5,1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,5,8,0.092,0.345,0.029919147491455078,"['examine knife', 'examine toaster', 'open cutlery drawer', 'examine counter', 'open trash can', 'examine counter', 'look around', 'open dishwasher', 'open fridge']",0.03407114000000001,0.0006084132142857144
6,1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,6,4,0.096,0.44099999999999995,0.012964248657226562,"['examine oven', 'open cutlery drawer', 'inventory', 'examine dining chair', 'open fridge']",0.04345514000000001,0.0007365277966101697
7,1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,7,4,0.096,0.5369999999999999,0.01795172691345215,"['inventory', 'look around', 'open kitchen cupboard', 'examine dining chair', 'open fridge']",0.052995740000000006,0.0008547700000000001
8,1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,8,11,0.089,0.6259999999999999,0.02892017364501953,"['inventory', 'open kitchen cupboard', 'examine toaster', 'examine counter', 'examine trash can', 'close kitchen cupboard', 'examine knife', 'open trash can', 'examine dishwasher', 'examine oven', 'open dishwasher', 'open fridge']",0.06206179000000002,0.0008619693055555559
9,1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,9,2,0.098,0.7239999999999999,0.008975028991699219,"['inventory', 'examine dining chair', 'open fridge']",0.07148257600000002,0.000992813555555556
10,1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,10,4,0.096,0.8199999999999998,0.012966156005859375,"['take cookbook', 'examine stove', 'inventory', 'examine knife', 'open fridge']",0.08104495600000003,0.0010525318961038964
11,1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,11,1,0.099,0.9189999999999998,0.0069811344146728516,"['examine dining chair', 'open fridge']",0.09053544600000003,0.0011607108461538466
