,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.1, 'epsilon_step': 0}",,0,6,0.25,0.25,0.028922319412231445,"['examine cookbook', 'examine oven', 'take knife', 'examine cookbook', 'open trash can', 'close trash can', 'open fridge']",0.0125,0.0125
1,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.1, 'epsilon_step': 0}",,1,24,0.25,0.5,0.07280611991882324,"['examine toaster', 'examine dishwasher', 'look around', 'open cutlery drawer', 'open trash can', 'examine oven', 'examine trash can', 'examine knife', 'open dishwasher', 'examine knife', 'examine kitchen cupboard', 'inventory', 'examine cookbook', 'examine cookbook', 'examine fridge', 'examine cookbook', 'open kitchen cupboard', 'examine cookbook', 'examine counter', 'take cookbook', 'take knife', 'read cookbook', 'examine counter', 'close trash can', 'open fridge']",0.02496875,0.012484375
2,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.1, 'epsilon_step': 0}",,2,11,0.25,0.75,0.0359039306640625,"['look around', 'examine dining chair', 'examine counter', 'read cookbook', 'read cookbook', 'examine knife', 'examine kitchen cupboard', 'open dishwasher', 'examine oven', 'examine kitchen cupboard', 'open cutlery drawer', 'open fridge']",0.03746875,0.012489583333333333
3,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.1, 'epsilon_step': 0}",,3,19,0.25,1.0,0.04787135124206543,"['open kitchen cupboard', 'examine knife', 'examine kitchen cupboard', 'examine dining chair', 'examine knife', 'examine oven', 'examine dishwasher', 'take knife', 'examine toaster', 'examine knife', 'examine dishwasher', 'put knife in kitchen cupboard', 'examine fridge', 'examine dishwasher', 'inventory', 'examine dishwasher', 'read cookbook', 'open dishwasher', 'examine counter', 'open fridge']",0.049968750000000006,0.012492187500000002
4,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.1, 'epsilon_step': 0}",,4,6,0.25,1.25,0.021968603134155273,"['examine dishwasher', 'examine counter', 'examine fridge', 'examine cutlery drawer', 'open dishwasher', 'open cutlery drawer', 'open fridge']",0.06243750000000001,0.012487500000000002
5,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.1, 'epsilon_step': 0}",,5,18,0.25,1.5,0.05887246131896973,"['examine counter', 'examine oven', 'examine fridge', 'examine fridge', 'take knife', 'look around', 'examine dishwasher', 'open trash can', 'examine knife', 'look around', 'examine fridge', 'read cookbook', 'put knife in counter', 'examine stove', 'inventory', 'take cookbook', 'examine fridge', 'close trash can', 'open fridge']",0.0748765625,0.012479427083333333
6,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.1, 'epsilon_step': 0}",,6,8,0.25,1.75,0.026928424835205078,"['read cookbook', 'examine toaster', 'examine knife', 'examine knife', 'inventory', 'inventory', 'examine stove', 'open cutlery drawer', 'open fridge']",0.08731562499999998,0.012473660714285711
7,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.1, 'epsilon_step': 0}",,7,1,0.25,2.0,0.011967897415161133,"['open cutlery drawer', 'open fridge']",0.09972648437499998,0.012465810546874997
8,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.1, 'epsilon_step': 0}",,8,1,0.25,2.25,0.011939764022827148,"['open cutlery drawer', 'open fridge']",0.11202586718749998,0.014003233398437497
9,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.1, 'epsilon_step': 0}",,9,1,0.25,2.5,0.011967658996582031,"['open cutlery drawer', 'open fridge']",0.12419389394531248,0.01552423674316406
