,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,0,19,-0.02000000000000001,-0.02000000000000001,0.056849002838134766,"['examine knife', 'examine fridge', 'read cookbook', 'read cookbook', 'examine dishwasher', 'open trash can', 'examine cutlery drawer', 'close trash can', 'open cutlery drawer', 'close cutlery drawer', 'examine dishwasher', 'examine cutlery drawer', 'inventory', 'examine toaster', 'open kitchen cupboard', 'read cookbook', 'open cutlery drawer', 'examine stove', 'read cookbook', 'inventory']",-0.0020540000000000003,-0.00010270000000000002
1,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,1,19,-0.02000000000000001,-0.04000000000000002,0.04388284683227539,"['examine fridge', 'examine oven', 'examine toaster', 'examine oven', 'examine stove', 'examine counter', 'examine knife', 'open kitchen cupboard', 'examine kitchen cupboard', 'examine trash can', 'take cookbook', 'open trash can', 'examine knife', 'inventory', 'examine stove', 'put cookbook in counter', 'examine kitchen cupboard', 'take knife', 'open dishwasher', 'examine trash can']",-0.004146430000000001,-0.00010366075000000003
2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,2,1,0.099,0.05899999999999998,0.008976221084594727,"['open dishwasher', 'open fridge']",0.005744570000000001,0.00013677547619047622
3,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,3,4,0.096,0.15499999999999997,0.0139617919921875,"['open cutlery drawer', 'examine oven', 'examine kitchen cupboard', 'examine dining chair', 'open fridge']",0.015325760000000003,0.0003260800000000001
4,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,4,2,0.098,0.253,0.008976221084594727,"['inventory', 'examine dining chair', 'open fridge']",0.025016760000000006,0.0005105461224489797
5,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,5,8,0.092,0.345,0.029919147491455078,"['examine knife', 'examine toaster', 'open cutlery drawer', 'examine counter', 'open trash can', 'examine counter', 'look around', 'open dishwasher', 'open fridge']",0.03407114000000001,0.0006084132142857144
6,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,6,4,0.096,0.44099999999999995,0.012964248657226562,"['examine oven', 'open cutlery drawer', 'inventory', 'examine dining chair', 'open fridge']",0.04345514000000001,0.0007365277966101697
7,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,7,4,0.096,0.5369999999999999,0.01795172691345215,"['inventory', 'look around', 'open kitchen cupboard', 'examine dining chair', 'open fridge']",0.052995740000000006,0.0008547700000000001
8,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,8,11,0.089,0.6259999999999999,0.02892017364501953,"['inventory', 'open kitchen cupboard', 'examine toaster', 'examine counter', 'examine trash can', 'close kitchen cupboard', 'examine knife', 'open trash can', 'examine dishwasher', 'examine oven', 'open dishwasher', 'open fridge']",0.06206179000000002,0.0008619693055555559
9,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,9,2,0.098,0.7239999999999999,0.008975028991699219,"['inventory', 'examine dining chair', 'open fridge']",0.07148257600000002,0.000992813555555556
10,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,10,4,0.096,0.8199999999999998,0.012966156005859375,"['take cookbook', 'examine stove', 'inventory', 'examine knife', 'open fridge']",0.08104495600000003,0.0010525318961038964
11,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,11,1,0.099,0.9189999999999998,0.0069811344146728516,"['examine dining chair', 'open fridge']",0.09053544600000003,0.0011607108461538466
12,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,12,2,0.098,1.017,0.010970115661621094,"['examine oven', 'open dishwasher', 'open fridge']",0.10005924600000002,0.0012828108461538463
13,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,13,1,0.099,1.1159999999999999,0.007978677749633789,"['examine dining chair', 'open fridge']",0.10913212800000002,0.0013991298461538465
14,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,14,1,0.099,1.2149999999999999,0.007977724075317383,"['examine dining chair', 'open fridge']",0.11777601870000003,0.001509948957692308
15,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,15,1,0.099,1.3139999999999998,0.007982015609741211,"['examine dining chair', 'open fridge']",0.12598598754,0.0016152049684615387
16,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,16,1,0.099,1.4129999999999998,0.008994817733764648,"['examine dining chair', 'open fridge']",0.133762379985,0.0017149023075000002
17,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,17,1,0.099,1.5119999999999998,0.007976770401000977,"['examine dining chair', 'open fridge']",0.14110981162560002,0.001809100149046154
18,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,18,3,0.097,1.6089999999999998,0.013962984085083008,"['take cookbook', 'examine fridge', 'open dishwasher', 'open fridge']",0.1504580826256,0.00188072603282
19,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,19,6,0.094,1.7029999999999998,0.016976118087768555,"['examine dining chair', 'examine toaster', 'open kitchen cupboard', 'examine counter', 'examine fridge', 'open dishwasher', 'open fridge']",0.16350952473733005,0.0019699942739437354
20,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,20,5,0.095,1.7979999999999998,0.014989137649536133,"['examine oven', 'examine kitchen cupboard', 'open cutlery drawer', 'examine oven', 'open dishwasher', 'open fridge']",0.17285878673733007,0.0020578426992539293
21,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,21,1,0.099,1.8969999999999998,0.007979631423950195,"['examine dining chair', 'open fridge']",0.17940644649878706,0.002135791029747465
22,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,22,1,0.099,1.9959999999999998,0.008006811141967773,"['examine dining chair', 'open fridge']",0.1855817698205794,0.002209306783578326
23,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,23,1,0.099,2.0949999999999998,0.008007526397705078,"['examine dining chair', 'open fridge']",0.19139374739302534,0.0022784969927741113
24,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,24,3,0.097,2.1919999999999997,0.011970043182373047,"['examine cookbook', 'examine oven', 'open dishwasher', 'open fridge']",0.20049678198302537,0.0023313579300351787
25,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,25,8,0.092,2.284,0.023962736129760742,"['take cookbook', 'examine oven', 'open dishwasher', 'examine cookbook', 'examine oven', 'examine toaster', 'open kitchen cupboard', 'examine dining chair', 'open fridge']",0.21530344621137498,0.0024466300705838066
26,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,26,19,-0.02000000000000001,2.264,0.08377671241760254,"['read cookbook', 'take knife', 'put knife in dining chair', 'examine counter', 'examine trash can', 'examine toaster', 'open kitchen cupboard', 'examine dining chair', 'take knife', 'examine dishwasher', 'examine stove', 'examine stove', 'open dishwasher', 'examine toaster', 'open cutlery drawer', 'examine oven', 'examine stove', 'examine counter', 'put knife in counter', 'close cutlery drawer']",0.22019476737148483,0.0021587722291322043
27,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,27,1,0.099,2.363,0.007978677749633789,"['examine dining chair', 'open fridge']",0.22563143831878085,0.0022120729246939298
28,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,28,1,0.099,2.462,0.007979393005371094,"['examine dining chair', 'open fridge']",0.2307097441902325,0.0022618602371591422
29,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,29,1,0.099,2.5610000000000004,0.00797891616821289,"['examine dining chair', 'open fridge']",0.23544699129153557,0.002308303836191525
30,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,30,4,0.096,2.6570000000000005,0.012965679168701172,"['examine dining chair', 'examine trash can', 'examine dishwasher', 'open dishwasher', 'open fridge']",0.24747317382393538,0.0023568873697517654
31,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,31,1,0.099,2.7560000000000007,0.007977485656738281,"['examine dining chair', 'open fridge']",0.2515955237830552,0.0023961478455529067
32,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,32,3,0.097,2.8530000000000006,0.012992143630981445,"['examine dining chair', 'inventory', 'examine dining chair', 'open fridge']",0.2629740363721247,0.002480887135586082
33,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,33,8,0.092,2.9450000000000007,0.025930404663085938,"['examine fridge', 'take knife', 'open kitchen cupboard', 'examine dining chair', 'look around', 'examine kitchen cupboard', 'examine stove', 'open dishwasher', 'open fridge']",0.27989569952059806,0.0025215828785639465
34,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,34,1,0.099,3.044000000000001,0.011967897415161133,"['examine dining chair', 'open fridge']",0.2834779562966663,0.002553855462132129
35,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,35,1,0.099,3.143000000000001,0.009003400802612305,"['examine dining chair', 'open fridge']",0.28681140638425917,0.002583886544002335
36,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,36,2,0.098,3.241000000000001,0.009011268615722656,"['examine dining chair', 'examine dining chair', 'open fridge']",0.2979236947413459,0.002660032988762017
37,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,37,1,0.099,3.340000000000001,0.011968612670898438,"['examine dining chair', 'open fridge']",0.30080104807468916,0.0026857236435240102
38,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,38,1,0.099,3.4390000000000014,0.00797891616821289,"['examine dining chair', 'open fridge']",0.303470432517775,0.0027095574331944196
39,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,39,1,0.099,3.5380000000000016,0.00797891616821289,"['examine dining chair', 'open fridge']",0.3059446683153214,0.002731648824243941
40,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,40,1,0.099,3.637000000000002,0.007948160171508789,"['examine dining chair', 'open fridge']",0.30823609135200547,0.002752107958500049
41,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,41,1,0.099,3.736000000000002,0.007977962493896484,"['examine dining chair', 'open fridge']",0.31035652182202417,0.00277104037341093
42,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,42,13,0.087,3.823000000000002,0.03789687156677246,"['examine counter', 'examine fridge', 'open kitchen cupboard', 'examine counter', 'examine fridge', 'open dishwasher', 'open cutlery drawer', 'examine oven', 'examine stove', 'examine stove', 'close dishwasher', 'look around', 'open dishwasher', 'open fridge']",0.3292516169294618,0.0027902679400801846
43,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,43,1,0.099,3.9220000000000024,0.007009267807006836,"['examine dining chair', 'open fridge']",0.33121233911578135,0.0028068842297947574
44,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,44,1,0.099,4.021000000000003,0.007008552551269531,"['examine dining chair', 'open fridge']",0.3330240903704414,0.0028222380539867915
45,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,45,6,0.094,4.115000000000003,0.016982555389404297,"['examine dining chair', 'inventory', 'take cookbook', 'put cookbook in dining chair', 'examine oven', 'open dishwasher', 'open fridge']",0.34408567888879704,0.0028436832966016283
46,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,46,5,0.095,4.210000000000003,0.01595783233642578,"['examine dining chair', 'inventory', 'examine dining chair', 'open kitchen cupboard', 'examine dining chair', 'open fridge']",0.3620657561718257,0.002967752099769063
47,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,47,4,0.096,4.306000000000003,0.01299285888671875,"['examine knife', 'open trash can', 'examine stove', 'open dishwasher', 'open fridge']",0.37177062139632666,0.003022525377205908
48,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,48,1,0.099,4.405000000000003,0.008006572723388672,"['examine dining chair', 'open fridge']",0.3732020289840722,0.0030341628372688796
49,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,49,1,0.099,4.504000000000003,0.008002758026123047,"['examine dining chair', 'open fridge']",0.3745246326512461,0.003044915712611757
50,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,50,1,0.099,4.603000000000003,0.006981372833251953,"['examine dining chair', 'open fridge']",0.3757458791060852,0.0030548445455779285
51,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,51,1,0.099,4.7020000000000035,0.00698089599609375,"['examine dining chair', 'open fridge']",0.3768728137543848,0.003064006615889307
52,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,52,1,0.099,4.801000000000004,0.007008552551269531,"['read cookbook', 'open fridge']",0.3867747137543848,0.003119150917374071
53,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,53,1,0.099,4.900000000000004,0.005983829498291016,"['examine dining chair', 'open fridge']",0.3878139864929044,0.003127532149136326
54,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,54,1,0.099,4.999000000000004,0.006975889205932617,"['examine dining chair', 'open fridge']",0.3887718603571169,0.003135256938363846
55,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,55,1,0.099,5.098000000000004,0.00800633430480957,"['examine dining chair', 'open fridge']",0.38965422239449865,0.003142372761245957
56,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,56,1,0.099,5.1970000000000045,0.007009267807006836,"['examine dining chair', 'open fridge']",0.3904665962317736,0.0031489241631594647
57,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,57,1,0.099,5.296000000000005,0.007977962493896484,"['examine dining chair', 'open fridge']",0.3912141558885893,0.0031549528700692687
58,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,58,1,0.099,5.395000000000005,0.006949186325073242,"['open dishwasher', 'open fridge']",0.4003792424714222,0.0032288648586405017
59,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,59,1,0.099,5.494000000000005,0.007979869842529297,"['examine dining chair', 'open fridge']",0.4010668270454978,0.003234409895528208
60,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,60,1,0.099,5.593000000000005,0.006981849670410156,"['examine dining chair', 'open fridge']",0.4016989559568131,0.003239507709329138
61,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,61,1,0.099,5.6920000000000055,0.007010459899902344,"['examine dining chair', 'open fridge']",0.40227984449217946,0.0032441922942917697
62,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,62,1,0.099,5.791000000000006,0.00701141357421875,"['examine dining chair', 'open fridge']",0.40281341943767346,0.003248495318045754
63,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,63,1,0.099,5.890000000000006,0.00701141357421875,"['examine dining chair', 'open fridge']",0.40330333462591594,0.003252446246983193
64,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,64,2,0.098,5.988000000000006,0.007976770401000977,"['inventory', 'examine dining chair', 'open fridge']",0.411894691082642,0.0033217313796987257
